,label,image_name,x1,x2,y1,y2
58,[1],Onepoto_20pointKAP20_2020_frame_52837.jpg,[561],[765],[446],[718]
59,[2],WP54_frame_38871.jpg,[854],[986],[774],[884]
60,[3],WP40_frame_43366.jpg,[1049],[1108],[763],[934]
61,[2],KPT_017_2021_02_26_frame_28912.jpg,[227],[310],[150],[290]
62,"[1, 1, 2, 2, 2]",EE11_2011_frame_53466.jpg,"[375, 473, 353, 380, 480]","[455, 644, 462, 454, 628]","[65, 259, 53, 74, 278]","[140, 327, 151, 137, 323]"
63,"[2, 2, 3]",WP40_frame_71088.jpg,"[1464, 1630, 1499]","[1641, 1773, 1769]","[907, 500, 940]","[1004, 535, 1017]"
64,"[3, 3, 3, 3, 3, 3]",PMR13_2012_frame_44775.jpg,"[54, 140, 169, 225, 250, 363]","[141, 339, 300, 307, 289, 536]","[100, 353, 388, 145, 147, 11]","[138, 451, 424, 282, 288, 238]"
65,"[3, 3]",WP54_frame_71868.jpg,"[1073, 1735]","[1189, 1917]","[510, 915]","[815, 1076]"
66,[1],KPT_017_2021_02_26_frame_46775.jpg,[600],[1010],[523],[619]
67,[3],WP40_frame_41448.jpg,[845],[978],[818],[963]
68,"[1, 1, 1]",Rangatira_20pointKAP23_2021_frame_38700.jpg,"[216, 370, 902]","[592, 447, 1112]","[28, -10, 813]","[238, 277, 947]"
69,"[2, 3]",WP54_frame_107472.jpg,"[1447, 1413]","[1605, 1584]","[358, 368]","[772, 754]"
70,"[1, 1]",Onepoto_20pointKAP20_2020_frame_52597.jpg,"[97, 682]","[425, 800]","[346, 757]","[1082, 792]"
71,"[1, 1, 1, 2]",WP38_frame_98541.jpg,"[427, 1146, 1315, 411]","[496, 1512, 1581, 548]","[864, 410, 632, 888]","[1009, 860, 744, 1011]"
72,[3],WP54_frame_86193.jpg,[1594],[1971],[420],[651]
73,"[1, 2]",WP40_frame_49630.jpg,"[720, 957]","[1211, 1070]","[556, 575]","[832, 636]"
74,[2],WP38_frame_97522.jpg,[1234],[1285],[652],[856]
75,[2],WP40_frame_43846.jpg,[1066],[1201],[551],[609]
76,"[1, 1]",Hole_20in_20the_20wall_20bayKAP16_2021_frame_1925.jpg,"[773, 934]","[864, 1134]","[862, 109]","[958, 225]"
77,[3],Green_20canKAP24_2021_frame_45675.jpg,[222],[535],[467],[704]
78,"[2, 2, 3]",WP40_frame_71208.jpg,"[999, 1515, 998]","[1199, 1652, 1211]","[778, 517, 786]","[879, 582, 868]"
79,"[3, 3]",WP54_frame_87662.jpg,"[944, 1668]","[1182, 1967]","[548, 766]","[933, 962]"
80,"[1, 1, 2]",KPT_017_2021_02_26_frame_19637.jpg,"[956, 1092, 608]","[1138, 1295, 718]","[12, 612, 114]","[85, 925, 297]"
81,[3],Green_20canKAP24_2021_frame_33825.jpg,[392],[588],[439],[756]
82,"[1, 2]",WP40_frame_24275.jpg,"[1510, 811]","[1638, 1693]","[436, 235]","[540, 854]"
83,"[1, 2]",Onepoto_20pointKAP20_2020_frame_53706.jpg,"[565, 301]","[802, 378]","[936, 761]","[1074, 871]"
84,[3],WP40_frame_113286.jpg,[781],[879],[535],[688]
85,"[3, 3]",Green_20canKAP24_2021_frame_38062.jpg,"[293, 382]","[574, 464]","[323, 266]","[582, 647]"
86,"[1, 2]",KPT_017_2021_02_26_frame_29662.jpg,"[355, 754]","[558, 880]","[806, 450]","[957, 566]"
87,[3],Onepoto_20pointKAP20_2020_frame_54065.jpg,[806],[1116],[597],[914]
88,[1],Onepoto_20pointKAP20_2020_frame_54035.jpg,[294],[893],[390],[789]
89,"[2, 2, 3]",WP40_frame_39230.jpg,"[1112, 1525, 1306]","[1263, 1719, 1521]","[981, 942, 770]","[1089, 1076, 844]"
90,"[3, 3, 3]",WP54_frame_100519.jpg,"[445, 499, 531]","[785, 647, 668]","[-43, 165, 49]","[369, 399, 380]"
91,[3],Rangatira_20pointKAP23_2021_frame_19650.jpg,[830],[1198],[866],[987]
92,[1],TUH_035_22_09_2020_frame_62577.jpg,[504],[848],[463],[627]
93,"[2, 2]",WP40_frame_42887.jpg,"[1256, 1296]","[1477, 1384]","[699, 698]","[827, 791]"
94,[3],WP40_frame_110469.jpg,[389],[431],[846],[1031]
95,[2],WP54_frame_25954.jpg,[1557],[1701],[797],[871]
96,"[3, 3]",Green_20canKAP24_2021_frame_45575.jpg,"[161, 296]","[503, 460]","[464, 138]","[591, 342]"
97,[1],Rangatira_20pointKAP23_2021_frame_19825.jpg,[235],[391],[827],[945]
98,"[3, 3, 3]",Green_20canKAP24_2021_frame_44300.jpg,"[132, 157, 1212]","[498, 508, 1347]","[15, 555, 759]","[291, 655, 852]"
99,"[3, 3]",WP54_frame_86673.jpg,"[780, 1189]","[1264, 1637]","[249, 764]","[465, 936]"
100,[3],WP54_frame_95664.jpg,[1035],[1330],[655],[824]
101,[1],WP38_frame_94285.jpg,[1202],[1389],[335],[449]
102,"[3, 3]",WP38_frame_86673.jpg,"[228, 850]","[630, 916]","[-8, 734]","[152, 863]"
103,[3],Rangatira_20pointKAP23_2021_frame_38250.jpg,[347],[606],[481],[927]
104,[3],Green_20canKAP24_2021_frame_26425.jpg,[0],[345],[414],[536]
105,[3],KPT_017_2021_02_26_frame_29087.jpg,[800],[1031],[95],[440]
106,[3],PMR74_2021_03_01_frame_39537.jpg,[125],[380],[-10],[127]
107,[3],Onepoto_20pointKAP20_2020_frame_60314.jpg,[331],[450],[613],[730]
108,[1],EE16_2011_frame_27752.jpg,[358],[426],[351],[487]
109,[1],TUH_035_22_09_2020_frame_65454.jpg,[868],[936],[1028],[1063]
110,[3],Rangatira_20pointKAP23_2021_frame_39075.jpg,[47],[584],[492],[894]
111,[2],WP40_frame_71148.jpg,[1603],[1655],[523],[593]
112,[2],Onepoto_20pointKAP20_2020_frame_60884.jpg,[826],[985],[665],[736]
113,"[3, 3]",WP54_frame_86853.jpg,"[468, 1177]","[849, 1503]","[498, 791]","[692, 1075]"
114,[1],Rangatira_20pointKAP23_2021_frame_37525.jpg,[776],[1138],[491],[660]
115,"[3, 3]",WP54_frame_88771.jpg,"[1020, 1600]","[1464, 1876]","[143, 929]","[322, 1068]"
116,[3],WP54_frame_87092.jpg,[882],[1289],[578],[746]
117,"[1, 1]",DD5_2011_frame_47532.jpg,"[457, 543]","[532, 610]","[286, 148]","[409, 313]"
118,[1],WP40_frame_107712.jpg,[940],[1042],[368],[418]
119,"[3, 3]",WP54_frame_79240.jpg,"[866, 1469]","[1137, 1789]","[552, 607]","[783, 861]"
120,[3],WP38_frame_103156.jpg,[1721],[2022],[482],[858]
121,"[1, 2]",WP40_frame_119520.jpg,"[515, 456]","[713, 590]","[602, 894]","[733, 1062]"
122,"[3, 3]",WP54_frame_97642.jpg,"[1045, 1263]","[1440, 1460]","[591, 129]","[774, 484]"
123,"[3, 3]",WP54_frame_99620.jpg,"[712, 1117]","[943, 1338]","[451, 594]","[830, 842]"
124,[3],Rangatira_20pointKAP23_2021_frame_18950.jpg,[1],[153],[315],[604]
125,"[1, 1, 1, 1, 1]",Hole_20in_20the_20wall_20bayKAP16_2021_frame_10900.jpg,"[18, 396, 552, 736, 809]","[196, 630, 634, 1126, 1157]","[200, 354, 202, 275, 290]","[315, 546, 376, 332, 389]"
126,[1],TUH_035_22_09_2020_frame_65274.jpg,[1562],[1894],[394],[832]
127,"[1, 1]",EE11_2011_frame_34945.jpg,"[287, 368]","[396, 415]","[232, 179]","[265, 341]"
128,[1],PMR23_2012_frame_12197.jpg,[284],[372],[152],[210]
129,[3],WP40_frame_91708.jpg,[462],[596],[894],[1028]
130,"[3, 3, 3]",Green_20canKAP24_2021_frame_44150.jpg,"[548, 556, 577]","[641, 752, 618]","[837, 796, 841]","[968, 1077, 961]"
131,[3],Rangatira_20pointKAP23_2021_frame_39675.jpg,[868],[1000],[793],[960]
132,"[1, 1, 1, 2]",Hole_20in_20the_20wall_20bayKAP16_2021_frame_38600.jpg,"[24, 1200, 1200, 226]","[1276, 1281, 1240, 490]","[12, 136, 762, 25]","[936, 540, 937, 345]"
133,[2],WP40_frame_43906.jpg,[1020],[1132],[556],[630]
134,"[3, 3, 3]",Rangatira_20pointKAP23_2021_frame_39625.jpg,"[191, 869, 1005]","[325, 1192, 1280]","[162, 823, 154]","[729, 961, 456]"
135,[1],WP54_frame_3446.jpg,[829],[1279],[285],[522]
136,"[3, 3, 3]",Green_20canKAP24_2021_frame_25225.jpg,"[264, 284, 786]","[615, 552, 1075]","[519, 342, 132]","[606, 683, 314]"
137,"[1, 1]",TUH_035_22_09_2020_frame_66353.jpg,"[94, 848]","[188, 1306]","[538, 558]","[773, 765]"
138,[3],Green_20canKAP24_2021_frame_33800.jpg,[995],[1169],[22],[297]
139,"[1, 2]",KPT_017_2021_02_26_frame_43362.jpg,"[1097, 500]","[1276, 1088]","[202, -14]","[252, 494]"
140,"[3, 3]",WP54_frame_97822.jpg,"[1044, 1270]","[1185, 1616]","[666, 651]","[962, 865]"
141,"[1, 2]",Onepoto_20pointKAP20_2020_frame_59715.jpg,"[600, 669]","[997, 1015]","[557, 534]","[695, 697]"
142,"[3, 3]",Green_20canKAP24_2021_frame_24450.jpg,"[279, 420]","[552, 483]","[383, 860]","[591, 960]"
143,[2],WP40_frame_42467.jpg,[970],[1036],[570],[645]
144,"[3, 3]",Green_20canKAP24_2021_frame_44450.jpg,"[255, 293]","[605, 580]","[261, 318]","[473, 617]"
145,[2],WP38_frame_32037.jpg,[1746],[1887],[373],[544]
146,"[1, 1]",WP40_frame_40489.jpg,"[486, 1661]","[600, 1797]","[295, 980]","[410, 1079]"
147,[2],WP38_frame_94585.jpg,[1111],[1447],[339],[417]
148,[3],Green_20canKAP24_2021_frame_43600.jpg,[839],[1026],[164],[601]
149,[3],WP54_frame_95844.jpg,[726],[1157],[285],[474]
150,"[3, 3]",Rangatira_20pointKAP23_2021_frame_21000.jpg,"[0, 31]","[317, 237]","[198, 135]","[298, 374]"
151,"[2, 3]",WP40_frame_50589.jpg,"[1612, 143]","[1851, 535]","[725, 139]","[858, 483]"
152,[2],WP40_frame_112987.jpg,[1006],[1134],[452],[610]
153,"[3, 3, 3]",WP54_frame_82837.jpg,"[954, 1045, 1842]","[1230, 1160, 1949]","[550, 558, 584]","[753, 777, 698]"
154,[2],WP40_frame_38751.jpg,[1489],[1537],[873],[1010]
155,"[1, 2]",WP40_frame_41928.jpg,"[238, 394]","[706, 558]","[326, 378]","[602, 448]"
156,"[1, 1, 1, 2]",Rangatira_20pointKAP23_2021_frame_53200.jpg,"[4, 368, 423, 380]","[199, 709, 578, 772]","[2, 444, 431, 48]","[276, 884, 837, 221]"
157,[3],WP40_frame_112927.jpg,[862],[1246],[770],[957]
158,[1],Onepoto_20pointKAP20_2020_frame_62382.jpg,[814],[992],[560],[720]
159,"[1, 2]",Onepoto_20pointKAP20_2020_frame_62172.jpg,"[738, 719]","[821, 819]","[885, 887]","[1022, 1011]"
160,"[1, 1, 1]",EE11_2011_frame_31018.jpg,"[47, 191, 283]","[165, 231, 416]","[54, 198, 220]","[142, 288, 277]"
161,[3],Green_20canKAP24_2021_frame_45750.jpg,[436],[632],[348],[571]
162,[3],WP54_frame_88291.jpg,[940],[1106],[567],[943]
163,[3],PMR74_2021_03_01_frame_25737.jpg,[-58],[142],[620],[827]
164,"[1, 1, 1]",KPT_017_2021_02_26_frame_29712.jpg,"[225, 356, 529]","[474, 554, 628]","[107, 826, 646]","[190, 987, 808]"
165,"[3, 3, 3]",Green_20canKAP24_2021_frame_43700.jpg,"[-26, 18, 132]","[146, 274, 316]","[864, 442, 450]","[943, 693, 638]"
167,[1],Onepoto_20pointKAP20_2020_frame_54365.jpg,[796],[991],[784],[1081]
168,"[1, 1]",WP38_frame_74265.jpg,"[1249, 1277]","[1390, 1485]","[238, 376]","[408, 523]"
169,"[3, 3]",Green_20canKAP24_2021_frame_43450.jpg,"[10, 296]","[327, 614]","[384, 832]","[565, 936]"
170,"[3, 3]",Green_20canKAP24_2021_frame_14025.jpg,"[-40, -14]","[148, 298]","[95, 779]","[411, 882]"
171,"[1, 1]",KPT_017_2021_02_26_frame_30762.jpg,"[425, 573]","[530, 757]","[345, 175]","[523, 390]"
172,[3],TUH_035_22_09_2020_frame_64495.jpg,[1344],[1528],[223],[427]
173,"[1, 1]",WP54_frame_38811.jpg,"[834, 1262]","[941, 1557]","[7, 649]","[78, 897]"
174,[1],Onepoto_20pointKAP20_2020_frame_53526.jpg,[788],[1390],[69],[154]
175,[1],WP40_frame_44205.jpg,[1218],[1371],[907],[1031]
176,"[3, 3, 3]",Green_20canKAP24_2021_frame_44600.jpg,"[4, 10, 113]","[176, 246, 242]","[45, 695, 706]","[120, 963, 802]"
177,[3],Green_20canKAP24_2021_frame_45600.jpg,[736],[983],[377],[630]
178,[1],Rangatira_20pointKAP23_2021_frame_37725.jpg,[761],[1100],[519],[629]
179,[1],Onepoto_20pointKAP20_2020_frame_54665.jpg,[1623],[1957],[32],[169]
180,"[3, 3]",Green_20canKAP24_2021_frame_45350.jpg,"[178, 779]","[562, 1069]","[611, 7]","[836, 116]"
181,[1],Te_20Oneroa_20BayKAP01_2021_frame_21750.jpg,[274],[614],[343],[574]
182,"[1, 1]",Onepoto_20pointKAP20_2020_frame_60464.jpg,"[753, 1678]","[919, 1916]","[604, 564]","[674, 653]"
183,"[1, 1]",WP54_frame_106813.jpg,"[1609, 1659]","[1927, 2012]","[629, 554]","[734, 987]"
184,"[2, 2]",WP40_frame_107892.jpg,"[1220, 1343]","[1388, 1654]","[510, 571]","[732, 979]"
185,"[1, 1, 1]",WP38_frame_92067.jpg,"[883, 1225, 1243]","[1031, 1297, 1533]","[609, 371, 695]","[824, 473, 858]"
186,[1],TUH_035_22_09_2020_frame_62996.jpg,[742],[1194],[392],[563]
187,"[1, 1, 2]",WP40_frame_110709.jpg,"[122, 395, 860]","[1464, 581, 958]","[553, 839, 712]","[1030, 969, 869]"
189,"[1, 1]",KPT_017_2021_02_26_frame_28637.jpg,"[92, 518]","[232, 620]","[464, 402]","[679, 530]"
190,"[1, 1]",Rangatira_20pointKAP23_2021_frame_20425.jpg,"[68, 474]","[496, 676]","[564, 828]","[756, 953]"
191,"[1, 1]",EE16_2011_frame_33236.jpg,"[394, 471]","[651, 554]","[223, 217]","[468, 445]"
192,"[2, 2]",WP38_frame_36533.jpg,"[993, 1540]","[1599, 1728]","[576, 158]","[1021, 212]"
193,[1],Onepoto_20pointKAP20_2020_frame_62142.jpg,[511],[995],[280],[572]
194,"[1, 1, 2]",Rangatira_20pointKAP23_2021_frame_38550.jpg,"[460, 848, 812]","[583, 1009, 1069]","[696, 81, 72]","[965, 462, 481]"
195,[3],Rangatira_20pointKAP23_2021_frame_38775.jpg,[64],[662],[454],[760]
196,"[1, 1, 1]",Onepoto_20pointKAP20_2020_frame_52537.jpg,"[541, 637, 647]","[1494, 802, 840]","[159, 108, 2]","[405, 399, 330]"
197,[1],CON30_2012_frame_38811.jpg,[10],[135],[181],[302]
198,[1],CON30_2012_frame_40009.jpg,[616],[706],[267],[409]
199,[2],WP40_frame_41808.jpg,[1085],[1146],[784],[952]
200,"[2, 3]",WP38_frame_74205.jpg,"[1303, 1425]","[1442, 1481]","[403, 583]","[476, 676]"
201,[1],PMR74_2021_03_01_frame_12325.jpg,[819],[823],[280],[449]
202,[3],Rangatira_20pointKAP23_2021_frame_37325.jpg,[714],[1278],[420],[543]
203,[1],KPT_017_2021_02_26_frame_30187.jpg,[496],[697],[225],[443]
204,"[1, 1, 1, 1]",WP38_frame_84755.jpg,"[1155, 1270, 1292, 1316]","[1317, 1386, 1395, 1443]","[342, 616, 575, 86]","[458, 800, 880, 129]"
205,"[1, 1, 1, 1]",Hole_20in_20the_20wall_20bayKAP16_2021_frame_19350.jpg,"[475, 553, 867, 1160]","[1019, 746, 959, 1272]","[1, 81, 678, 379]","[888, 294, 946, 463]"
206,"[3, 3]",Green_20canKAP24_2021_frame_44350.jpg,"[180, 218]","[619, 382]","[552, 216]","[689, 547]"
207,"[3, 3]",WP54_frame_79900.jpg,"[634, 778]","[1100, 1100]","[452, 382]","[621, 729]"
208,[3],Onepoto_20pointKAP20_2020_frame_53466.jpg,[1815],[1916],[290],[527]
209,[3],WP40_frame_116583.jpg,[940],[1402],[700],[1068]
210,[3],WP40_frame_41088.jpg,[1249],[1330],[704],[812]
211,[1],WP40_frame_112567.jpg,[1107],[1330],[537],[865]
212,[1],TUH_035_22_09_2020_frame_77981.jpg,[1067],[1142],[723],[956]
213,[1],Rangatira_20pointKAP23_2021_frame_19450.jpg,[1092],[1279],[0],[252]
214,"[3, 3, 3]",WP54_frame_85534.jpg,"[1215, 1244, 1335]","[1621, 1587, 1703]","[503, 553, 598]","[751, 696, 717]"
215,[3],WP40_frame_108701.jpg,[1537],[1801],[748],[926]
216,[3],WP38_frame_99470.jpg,[1566],[1902],[755],[798]
217,"[1, 1]",WP38_frame_39500.jpg,"[1076, 1335]","[1280, 1402]","[231, 428]","[352, 495]"
218,[3],Hole_20in_20the_20wall_20bayKAP16_2021_frame_15075.jpg,[312],[397],[606],[891]
219,"[1, 2]",WP40_frame_113166.jpg,"[1618, 806]","[1751, 967]","[491, 734]","[535, 880]"
220,"[2, 3]",WP40_frame_108251.jpg,"[1221, 370]","[1346, 675]","[520, 523]","[671, 684]"
221,[3],Green_20canKAP24_2021_frame_30175.jpg,[50],[232],[716],[840]
223,[2],WP40_frame_30929.jpg,[1420],[1538],[938],[1072]
224,"[2, 3]",WP54_frame_69650.jpg,"[1339, 1324]","[1533, 1600]","[138, 175]","[244, 269]"
225,[3],PMR74_2021_03_01_frame_18787.jpg,[185],[260],[390],[514]
226,"[2, 3, 3]",WP40_frame_42107.jpg,"[1029, 755, 831]","[1106, 903, 896]","[592, 882, 869]","[642, 1033, 1007]"
227,"[3, 3]",Green_20canKAP24_2021_frame_44375.jpg,"[113, 272]","[453, 585]","[336, 569]","[524, 684]"
228,"[3, 3]",Green_20canKAP24_2021_frame_44200.jpg,"[194, 312]","[622, 520]","[123, 807]","[263, 1037]"
229,[3],Rangatira_20pointKAP23_2021_frame_38225.jpg,[234],[491],[1],[133]
230,[1],TUH_035_22_09_2020_frame_81937.jpg,[310],[978],[222],[675]
231,"[2, 3]",WP38_frame_80709.jpg,"[1195, 1337]","[1384, 1472]","[736, 682]","[1007, 873]"
232,"[1, 1, 1, 2]",EE11_2011_frame_35634.jpg,"[294, 302, 409, 448]","[423, 385, 600, 595]","[217, 240, 295, 291]","[275, 265, 412, 414]"
233,"[1, 1, 1, 1]",KPT_017_2021_02_26_frame_29837.jpg,"[355, 462, 557, 1088]","[514, 590, 617, 1174]","[811, 735, 335, 283]","[971, 959, 506, 409]"
234,"[1, 1, 1]",Hole_20in_20the_20wall_20bayKAP16_2021_frame_40425.jpg,"[131, 1132, 1162]","[1268, 1269, 1251]","[8, 368, 553]","[922, 432, 933]"
235,"[1, 1, 2]",PMR74_2021_03_01_frame_25975.jpg,"[5, 655, 957]","[192, 746, 1017]","[441, 367, 872]","[745, 398, 957]"
236,"[1, 1, 1]",KPT_017_2021_02_26_frame_20025.jpg,"[569, 668, 1258]","[919, 852, 1278]","[680, 721, 575]","[1032, 932, 633]"
237,"[1, 1, 1]",Rangatira_20pointKAP23_2021_frame_37825.jpg,"[-32, 14, 594]","[196, 159, 739]","[600, 646, 397]","[806, 819, 716]"
238,[1],Onepoto_20pointKAP20_2020_frame_62262.jpg,[1744],[1891],[386],[646]
240,[1],Onepoto_20pointKAP20_2020_frame_53046.jpg,[1102],[1700],[2],[304]
241,[2],WP38_frame_100039.jpg,[1501],[1678],[919],[1077]
242,"[1, 1, 1]",Rangatira_20pointKAP23_2021_frame_20100.jpg,"[250, 332, 834]","[1243, 574, 1198]","[323, 488, 358]","[799, 729, 670]"
243,"[1, 1, 1]",Hole_20in_20the_20wall_20bayKAP16_2021_frame_38650.jpg,"[102, 474, 478]","[1235, 1010, 607]","[60, 385, 158]","[919, 780, 407]"
244,"[1, 1]",WP38_frame_84155.jpg,"[1336, 1359]","[1564, 1527]","[532, 563]","[706, 839]"
245,[1],Onepoto_20pointKAP20_2020_frame_60494.jpg,[1708],[1905],[583],[724]
246,[1],TUH_035_22_09_2020_frame_61438.jpg,[1590],[1918],[579],[984]
247,"[1, 1, 2]",DD6_2011_frame_24335.jpg,"[295, 332, 293]","[395, 385, 384]","[327, 190, 327]","[453, 246, 462]"
248,"[3, 3, 3]",WP54_frame_94885.jpg,"[771, 1264, 1716]","[1078, 1471, 1934]","[679, 593, 962]","[893, 743, 1100]"
249,"[3, 3]",Green_20canKAP24_2021_frame_31487.jpg,"[-7, 369]","[228, 518]","[338, 816]","[526, 955]"
250,[1],WP40_frame_38451.jpg,[1559],[1697],[490],[524]
251,[2],WP40_frame_109030.jpg,[986],[1072],[454],[523]
252,[1],PMR23_2012_frame_48641.jpg,[24],[121],[357],[476]
253,"[3, 3]",Rangatira_20pointKAP23_2021_frame_39475.jpg,"[196, 237]","[444, 408]","[708, 708]","[958, 881]"
