label,image_name,x1,x2,y1,y2
"[1, 2]",WP40_frame_119520.jpg,"[515, 456]","[713, 590]","[602, 894]","[733, 1062]"
"[3, 3]",WP54_frame_97642.jpg,"[1045, 1263]","[1440, 1460]","[591, 129]","[774, 484]"
"[3, 3]",WP54_frame_99620.jpg,"[712, 1117]","[943, 1338]","[451, 594]","[830, 842]"
[3],Rangatira_20pointKAP23_2021_frame_18950.jpg,[1],[153],[315],[604]
"[1, 1, 1, 1, 1]",Hole_20in_20the_20wall_20bayKAP16_2021_frame_10900.jpg,"[18, 396, 552, 736, 809]","[196, 630, 634, 1126, 1157]","[200, 354, 202, 275, 290]","[315, 546, 376, 332, 389]"
[1],TUH_035_22_09_2020_frame_65274.jpg,[1562],[1894],[394],[832]
"[1, 1]",EE11_2011_frame_34945.jpg,"[287, 368]","[396, 415]","[232, 179]","[265, 341]"
[1],PMR23_2012_frame_12197.jpg,[284],[372],[152],[210]
[3],WP40_frame_91708.jpg,[462],[596],[894],[1028]
"[3, 3, 3]",Green_20canKAP24_2021_frame_44150.jpg,"[548, 556, 577]","[641, 752, 618]","[837, 796, 841]","[968, 1077, 961]"
[3],Rangatira_20pointKAP23_2021_frame_39675.jpg,[868],[1000],[793],[960]
"[1, 1, 1, 2]",Hole_20in_20the_20wall_20bayKAP16_2021_frame_38600.jpg,"[24, 1200, 1200, 226]","[1276, 1281, 1240, 490]","[12, 136, 762, 25]","[936, 540, 937, 345]"
[2],WP40_frame_43906.jpg,[1020],[1132],[556],[630]
"[3, 3, 3]",Rangatira_20pointKAP23_2021_frame_39625.jpg,"[191, 869, 1005]","[325, 1192, 1280]","[162, 823, 154]","[729, 961, 456]"
[1],WP54_frame_3446.jpg,[829],[1279],[285],[522]
"[3, 3, 3]",Green_20canKAP24_2021_frame_25225.jpg,"[264, 284, 786]","[615, 552, 1075]","[519, 342, 132]","[606, 683, 314]"
"[1, 1]",TUH_035_22_09_2020_frame_66353.jpg,"[94, 848]","[188, 1306]","[538, 558]","[773, 765]"
[3],Green_20canKAP24_2021_frame_33800.jpg,[995],[1169],[22],[297]
"[1, 2]",KPT_017_2021_02_26_frame_43362.jpg,"[1097, 500]","[1276, 1088]","[202, -14]","[252, 494]"
"[3, 3]",WP54_frame_97822.jpg,"[1044, 1270]","[1185, 1616]","[666, 651]","[962, 865]"
"[1, 2]",Onepoto_20pointKAP20_2020_frame_59715.jpg,"[600, 669]","[997, 1015]","[557, 534]","[695, 697]"
"[3, 3]",Green_20canKAP24_2021_frame_24450.jpg,"[279, 420]","[552, 483]","[383, 860]","[591, 960]"
[2],WP40_frame_42467.jpg,[970],[1036],[570],[645]
"[3, 3]",Green_20canKAP24_2021_frame_44450.jpg,"[255, 293]","[605, 580]","[261, 318]","[473, 617]"
[2],WP38_frame_32037.jpg,[1746],[1887],[373],[544]
"[1, 1]",WP40_frame_40489.jpg,"[486, 1661]","[600, 1797]","[295, 980]","[410, 1079]"
[2],WP38_frame_94585.jpg,[1111],[1447],[339],[417]
[3],Green_20canKAP24_2021_frame_43600.jpg,[839],[1026],[164],[601]
[3],WP54_frame_95844.jpg,[726],[1157],[285],[474]
"[3, 3]",Rangatira_20pointKAP23_2021_frame_21000.jpg,"[0, 31]","[317, 237]","[198, 135]","[298, 374]"
"[2, 3]",WP40_frame_50589.jpg,"[1612, 143]","[1851, 535]","[725, 139]","[858, 483]"
[2],WP40_frame_112987.jpg,[1006],[1134],[452],[610]
"[3, 3, 3]",WP54_frame_82837.jpg,"[954, 1045, 1842]","[1230, 1160, 1949]","[550, 558, 584]","[753, 777, 698]"
[2],WP40_frame_38751.jpg,[1489],[1537],[873],[1010]
"[1, 2]",WP40_frame_41928.jpg,"[238, 394]","[706, 558]","[326, 378]","[602, 448]"
"[1, 1, 1, 2]",Rangatira_20pointKAP23_2021_frame_53200.jpg,"[4, 368, 423, 380]","[199, 709, 578, 772]","[2, 444, 431, 48]","[276, 884, 837, 221]"
[3],WP40_frame_112927.jpg,[862],[1246],[770],[957]
[1],Onepoto_20pointKAP20_2020_frame_62382.jpg,[814],[992],[560],[720]
"[1, 2]",Onepoto_20pointKAP20_2020_frame_62172.jpg,"[738, 719]","[821, 819]","[885, 887]","[1022, 1011]"
"[1, 1, 1]",EE11_2011_frame_31018.jpg,"[47, 191, 283]","[165, 231, 416]","[54, 198, 220]","[142, 288, 277]"
[3],Green_20canKAP24_2021_frame_45750.jpg,[436],[632],[348],[571]
[3],WP54_frame_88291.jpg,[940],[1106],[567],[943]
[3],PMR74_2021_03_01_frame_25737.jpg,[-58],[142],[620],[827]
"[1, 1, 1]",KPT_017_2021_02_26_frame_29712.jpg,"[225, 356, 529]","[474, 554, 628]","[107, 826, 646]","[190, 987, 808]"
"[3, 3, 3]",Green_20canKAP24_2021_frame_43700.jpg,"[-26, 18, 132]","[146, 274, 316]","[864, 442, 450]","[943, 693, 638]"
[1],DD5_2011_frame_45074.jpg,[434],[551],[269],[422]
[1],Onepoto_20pointKAP20_2020_frame_54365.jpg,[796],[991],[784],[1081]
"[1, 1]",WP38_frame_74265.jpg,"[1249, 1277]","[1390, 1485]","[238, 376]","[408, 523]"
"[3, 3]",Green_20canKAP24_2021_frame_43450.jpg,"[10, 296]","[327, 614]","[384, 832]","[565, 936]"
"[3, 3]",Green_20canKAP24_2021_frame_14025.jpg,"[-40, -14]","[148, 298]","[95, 779]","[411, 882]"
"[1, 1]",KPT_017_2021_02_26_frame_30762.jpg,"[425, 573]","[530, 757]","[345, 175]","[523, 390]"
[3],TUH_035_22_09_2020_frame_64495.jpg,[1344],[1528],[223],[427]
"[1, 1]",WP54_frame_38811.jpg,"[834, 1262]","[941, 1557]","[7, 649]","[78, 897]"
[1],Onepoto_20pointKAP20_2020_frame_53526.jpg,[788],[1390],[69],[154]
[1],WP40_frame_44205.jpg,[1218],[1371],[907],[1031]
"[3, 3, 3]",Green_20canKAP24_2021_frame_44600.jpg,"[4, 10, 113]","[176, 246, 242]","[45, 695, 706]","[120, 963, 802]"
[3],Green_20canKAP24_2021_frame_45600.jpg,[736],[983],[377],[630]
[1],Rangatira_20pointKAP23_2021_frame_37725.jpg,[761],[1100],[519],[629]
[1],Onepoto_20pointKAP20_2020_frame_54665.jpg,[1623],[1957],[32],[169]
"[3, 3]",Green_20canKAP24_2021_frame_45350.jpg,"[178, 779]","[562, 1069]","[611, 7]","[836, 116]"
[1],Te_20Oneroa_20BayKAP01_2021_frame_21750.jpg,[274],[614],[343],[574]
"[1, 1]",Onepoto_20pointKAP20_2020_frame_60464.jpg,"[753, 1678]","[919, 1916]","[604, 564]","[674, 653]"
"[1, 1]",WP54_frame_106813.jpg,"[1609, 1659]","[1927, 2012]","[629, 554]","[734, 987]"
"[2, 2]",WP40_frame_107892.jpg,"[1220, 1343]","[1388, 1654]","[510, 571]","[732, 979]"
"[1, 1, 1]",WP38_frame_92067.jpg,"[883, 1225, 1243]","[1031, 1297, 1533]","[609, 371, 695]","[824, 473, 858]"
[1],TUH_035_22_09_2020_frame_62996.jpg,[742],[1194],[392],[563]
"[1, 1, 2]",WP40_frame_110709.jpg,"[122, 395, 860]","[1464, 581, 958]","[553, 839, 712]","[1030, 969, 869]"
[1],EE16_2011_frame_19240.jpg,[301],[389],[220],[286]
"[1, 1]",KPT_017_2021_02_26_frame_28637.jpg,"[92, 518]","[232, 620]","[464, 402]","[679, 530]"
"[1, 1]",Rangatira_20pointKAP23_2021_frame_20425.jpg,"[68, 474]","[496, 676]","[564, 828]","[756, 953]"
"[1, 1]",EE16_2011_frame_33236.jpg,"[394, 471]","[651, 554]","[223, 217]","[468, 445]"
"[2, 2]",WP38_frame_36533.jpg,"[993, 1540]","[1599, 1728]","[576, 158]","[1021, 212]"
[1],Onepoto_20pointKAP20_2020_frame_62142.jpg,[511],[995],[280],[572]
"[1, 1, 2]",Rangatira_20pointKAP23_2021_frame_38550.jpg,"[460, 848, 812]","[583, 1009, 1069]","[696, 81, 72]","[965, 462, 481]"
[3],Rangatira_20pointKAP23_2021_frame_38775.jpg,[64],[662],[454],[760]
"[1, 1, 1]",Onepoto_20pointKAP20_2020_frame_52537.jpg,"[541, 637, 647]","[1494, 802, 840]","[159, 108, 2]","[405, 399, 330]"
[1],CON30_2012_frame_38811.jpg,[10],[135],[181],[302]
[1],CON30_2012_frame_40009.jpg,[616],[706],[267],[409]
[2],WP40_frame_41808.jpg,[1085],[1146],[784],[952]
"[2, 3]",WP38_frame_74205.jpg,"[1303, 1425]","[1442, 1481]","[403, 583]","[476, 676]"
[1],PMR74_2021_03_01_frame_12325.jpg,[819],[823],[280],[449]
[3],Rangatira_20pointKAP23_2021_frame_37325.jpg,[714],[1278],[420],[543]
[1],KPT_017_2021_02_26_frame_30187.jpg,[496],[697],[225],[443]
"[1, 1, 1, 1]",WP38_frame_84755.jpg,"[1155, 1270, 1292, 1316]","[1317, 1386, 1395, 1443]","[342, 616, 575, 86]","[458, 800, 880, 129]"
"[1, 1, 1, 1]",Hole_20in_20the_20wall_20bayKAP16_2021_frame_19350.jpg,"[475, 553, 867, 1160]","[1019, 746, 959, 1272]","[1, 81, 678, 379]","[888, 294, 946, 463]"
"[3, 3]",Green_20canKAP24_2021_frame_44350.jpg,"[180, 218]","[619, 382]","[552, 216]","[689, 547]"
"[3, 3]",WP54_frame_79900.jpg,"[634, 778]","[1100, 1100]","[452, 382]","[621, 729]"
[3],Onepoto_20pointKAP20_2020_frame_53466.jpg,[1815],[1916],[290],[527]
[3],WP40_frame_116583.jpg,[940],[1402],[700],[1068]
[3],WP40_frame_41088.jpg,[1249],[1330],[704],[812]
[1],WP40_frame_112567.jpg,[1107],[1330],[537],[865]
[1],TUH_035_22_09_2020_frame_77981.jpg,[1067],[1142],[723],[956]
[1],Rangatira_20pointKAP23_2021_frame_19450.jpg,[1092],[1279],[0],[252]
"[3, 3, 3]",WP54_frame_85534.jpg,"[1215, 1244, 1335]","[1621, 1587, 1703]","[503, 553, 598]","[751, 696, 717]"
[3],WP40_frame_108701.jpg,[1537],[1801],[748],[926]
[3],WP38_frame_99470.jpg,[1566],[1902],[755],[798]
"[1, 1]",WP38_frame_39500.jpg,"[1076, 1335]","[1280, 1402]","[231, 428]","[352, 495]"
[3],Hole_20in_20the_20wall_20bayKAP16_2021_frame_15075.jpg,[312],[397],[606],[891]
"[1, 2]",WP40_frame_113166.jpg,"[1618, 806]","[1751, 967]","[491, 734]","[535, 880]"
"[2, 3]",WP40_frame_108251.jpg,"[1221, 370]","[1346, 675]","[520, 523]","[671, 684]"
[3],Green_20canKAP24_2021_frame_30175.jpg,[50],[232],[716],[840]
"[1, 1]",EE16_2011_frame_31228.jpg,"[353, 370]","[461, 425]","[342, 364]","[477, 481]"
[2],WP40_frame_30929.jpg,[1420],[1538],[938],[1072]
"[2, 3]",WP54_frame_69650.jpg,"[1339, 1324]","[1533, 1600]","[138, 175]","[244, 269]"
[3],PMR74_2021_03_01_frame_18787.jpg,[185],[260],[390],[514]
"[2, 3, 3]",WP40_frame_42107.jpg,"[1029, 755, 831]","[1106, 903, 896]","[592, 882, 869]","[642, 1033, 1007]"
"[3, 3]",Green_20canKAP24_2021_frame_44375.jpg,"[113, 272]","[453, 585]","[336, 569]","[524, 684]"
"[3, 3]",Green_20canKAP24_2021_frame_44200.jpg,"[194, 312]","[622, 520]","[123, 807]","[263, 1037]"
[3],Rangatira_20pointKAP23_2021_frame_38225.jpg,[234],[491],[1],[133]
[1],TUH_035_22_09_2020_frame_81937.jpg,[310],[978],[222],[675]
"[2, 3]",WP38_frame_80709.jpg,"[1195, 1337]","[1384, 1472]","[736, 682]","[1007, 873]"
"[1, 1, 1, 2]",EE11_2011_frame_35634.jpg,"[294, 302, 409, 448]","[423, 385, 600, 595]","[217, 240, 295, 291]","[275, 265, 412, 414]"
"[1, 1, 1, 1]",KPT_017_2021_02_26_frame_29837.jpg,"[355, 462, 557, 1088]","[514, 590, 617, 1174]","[811, 735, 335, 283]","[971, 959, 506, 409]"
"[1, 1, 1]",Hole_20in_20the_20wall_20bayKAP16_2021_frame_40425.jpg,"[131, 1132, 1162]","[1268, 1269, 1251]","[8, 368, 553]","[922, 432, 933]"
"[1, 1, 2]",PMR74_2021_03_01_frame_25975.jpg,"[5, 655, 957]","[192, 746, 1017]","[441, 367, 872]","[745, 398, 957]"
"[1, 1, 1]",KPT_017_2021_02_26_frame_20025.jpg,"[569, 668, 1258]","[919, 852, 1278]","[680, 721, 575]","[1032, 932, 633]"
"[1, 1, 1]",Rangatira_20pointKAP23_2021_frame_37825.jpg,"[-32, 14, 594]","[196, 159, 739]","[600, 646, 397]","[806, 819, 716]"
[1],Onepoto_20pointKAP20_2020_frame_62262.jpg,[1744],[1891],[386],[646]
[3],WP54_frame_98721.jpg,[1513],[1678],[626],[892]
[1],Onepoto_20pointKAP20_2020_frame_53046.jpg,[1102],[1700],[2],[304]
[2],WP38_frame_100039.jpg,[1501],[1678],[919],[1077]
"[1, 1, 1]",Rangatira_20pointKAP23_2021_frame_20100.jpg,"[250, 332, 834]","[1243, 574, 1198]","[323, 488, 358]","[799, 729, 670]"
"[1, 1, 1]",Hole_20in_20the_20wall_20bayKAP16_2021_frame_38650.jpg,"[102, 474, 478]","[1235, 1010, 607]","[60, 385, 158]","[919, 780, 407]"
"[1, 1]",WP38_frame_84155.jpg,"[1336, 1359]","[1564, 1527]","[532, 563]","[706, 839]"
[1],Onepoto_20pointKAP20_2020_frame_60494.jpg,[1708],[1905],[583],[724]
[1],TUH_035_22_09_2020_frame_61438.jpg,[1590],[1918],[579],[984]
"[1, 1, 2]",DD6_2011_frame_24335.jpg,"[295, 332, 293]","[395, 385, 384]","[327, 190, 327]","[453, 246, 462]"
"[3, 3, 3]",WP54_frame_94885.jpg,"[771, 1264, 1716]","[1078, 1471, 1934]","[679, 593, 962]","[893, 743, 1100]"
"[3, 3]",Green_20canKAP24_2021_frame_31487.jpg,"[-7, 369]","[228, 518]","[338, 816]","[526, 955]"
[1],WP40_frame_38451.jpg,[1559],[1697],[490],[524]
[2],WP40_frame_109030.jpg,[986],[1072],[454],[523]
[1],PMR23_2012_frame_48641.jpg,[24],[121],[357],[476]
"[3, 3]",Rangatira_20pointKAP23_2021_frame_39475.jpg,"[196, 237]","[444, 408]","[708, 708]","[958, 881]"
"[1, 1, 1, 1]",KPT_017_2021_02_26_frame_30937.jpg,"[496, 531, 954, 1021]","[756, 570, 1255, 1116]","[165, 897, 150, 140]","[315, 977, 473, 570]"
"[1, 2]",KPT_017_2021_02_26_frame_18825.jpg,"[387, -8]","[676, 76]","[498, 849]","[575, 913]"
"[1, 2]",DD6_2011_frame_32637.jpg,"[202, 259]","[321, 300]","[37, 10]","[209, 201]"
"[1, 1]",KPT_017_2021_02_26_frame_30987.jpg,"[708, 1147]","[908, 1287]","[744, 708]","[854, 920]"
"[3, 3]",WP38_frame_98601.jpg,"[1104, 1197]","[1586, 1695]","[-207, -6]","[230, 266]"
